stations_id;longitude;latitude;total_rainfall
216;7.8807;51.1143;333.2
389;8.4318;51.0148;344.1999999999998
390;8.3683;50.9837;391.30000000000047
613;9.2324;51.5677;407.1000000000003
644;9.1738;51.7049;398.30000000000035
796;8.1257;50.7556;452.79999999999995
934;8.5658;51.7835;358.5000000000003
1300;8.1565;51.254;415.7000000000007
2483;8.4891;51.1803;502.4000000000004
2947;8.0348;51.1333;307.20000000000016
3028;8.8388;51.7854;386.50000000000017
3031;8.3945;51.6336;367.30000000000024
3098;7.6425;51.2452;327.60000000000014
3215;8.7125;51.1683;300.00000000000006
3499;7.853;51.2915;387.3000000000003
4127;7.6958;50.9906;396.90000000000003
4313;8.4342;51.4966;386.50000000000006
4368;8.5796;51.7098;347.3999999999998
4400;8.1808;51.5439;380.9000000000003
4488;8.2672;51.2127;383.0000000000004
5347;9.1118;51.5039;380.5000000000001
5360;8.2665;51.4319;445.8000000000003
5480;7.8879;51.5763;286.3
5619;7.4234;51.1637;339.90000000000015
5699;8.7784;51.5427;338.4999999999996
6264;8.65;51.413999999999994;392.89999999999986
6313;7.4672;51.2488;377.6
7330;7.978;51.4633;426.40000000000026
13700;7.3411;51.3329;340.20000000000044
13713;7.6289;51.0899;409.3999999999998
