fid,field_1,station_id,longitude,latitude,overall_ra,altitude,DTM_German
"1","0","216",7.8807,51.1143,322.7,"298",298.100006103516
"2","1","389",8.4318,51.0148,335.8,"436",433.5
"3","2","390",8.3683,50.9837,378.5,"610",609.100036621094
"4","3","613",9.2324,51.5677,395.1,"206",205.600006103516
"5","4","644",9.1738,51.7049,387.6,"150",150.199996948242
"6","5","796",8.1257,50.7556,417.4,"412",413.399993896484
"7","6","934",8.5658,51.7835,348.4,"88",87.7000045776367
"8","7","1300",8.1565,51.254,412.1,"351",354.800018310547
"9","8","2483",8.4891,51.1803,501.6,"839",838.5
"10","9","2947",8.0348,51.1333,294.7,"286",287
"11","10","3028",8.8388,51.7854,379.7,"157",156.800003051758
"12","11","3031",8.3945,51.6336,370.9,"92",93.4000015258789
"13","12","3098",7.6425,51.2452,336.8,"387",388
"14","13","3215",8.7125,51.1683,291.7,"375",374.899993896484
"15","14","3499",7.853,51.2915,388.5,"292",293.700012207031
"16","15","4127",7.6958,50.9906,360.8,"347",346.5
"17","16","4313",8.4342,51.4966,374.8,"370",370.399993896484
"18","17","4368",8.5796,51.7098,345,"93",92.0999984741211
"19","18","4400",8.1808,51.5439,373.1,"171",170.5
"20","19","4488",8.2672,51.2127,374.2,"443",441.800018310547
"21","20","5347",9.1118,51.5039,371.1,"236",236.100006103516
"22","21","5360",8.2665,51.4319,444.9,"331",337.600006103516
"23","22","5480",7.8879,51.5763,285.4,"85",84.5999984741211
"24","23","5619",7.4234,51.1637,341.6,"360",360.300018310547
"25","24","5699",8.7784,51.5427,335.8,"312",311.700012207031
"26","25","6264",8.65,51.414,389.9,"457",457.300018310547
"27","26","6313",7.4672,51.2488,386.9,"440",437.200012207031
"28","27","7330",7.978,51.4633,418.2,"159",158.800003051758
"29","28","13700",7.3411,51.3329,357.1,"205",203.900009155273
"30","29","13713",7.6289,51.0899,402.4,"386",389.800018310547
